Porosity,YM,UTS,FStrain,Toughness
47.9495,2900,73,12.3,0.7817
56.7738,2900,73,12.3,0.6805
61.2289,2900,73,12.3,0.56
64.6604,2900,73,12.3,0.6289
66.8839,2900,73,12.3,0.2152
74.9998,2900,73,12.3,0.3126
48.707,2900,73,12.3,0.7889
50.1729,2900,73,12.3,0.6628
56.0736,2900,73,12.3,0.4456
54.7468,2900,73,12.3,0.4315
60.496,2900,73,12.3,0.0909
60.3813,2900,73,12.3,0.0494
64.341,2900,73,12.3,0.1061
60.5246,2900,73,12.3,0.442
69.5209,2900,73,12.3,0.157
68.4481,2900,73,12.3,0.0917
73.2964,2900,73,12.3,0.122
74.4142,2900,73,12.3,0.2374
77.9112,2900,73,12.3,0.0504
77.5058,2900,73,12.3,0.1047
76.5149,2900,73,12.3,0.0976
48.6554,2080,52,12,0.393
52.176,2080,52,12,0.4034
58.4636,2080,52,12,0.342
62.5731,2080,52,12,0.4271
66.9294,2080,52,12,0.3564
73.0568,2080,52,12,0.1044
78.2315,2080,52,12,0.0793
44.5349,2080,52,12,0.5467
45.3978,2080,52,12,0.3773
50.5623,2080,52,12,0.4937
51.2344,2080,52,12,0.3592
55.0156,2080,52,12,0.7099
55.6834,2080,52,12,0.3389
56.8325,2080,52,12,0.2475
58.5974,2080,52,12,0.2294
63.6274,2080,52,12,0.1987
64.2605,2080,52,12,0.5713
70.1578,2080,52,12,0.12
70.5524,2080,52,12,0.2442
74.4507,2080,52,12,0.1241
74.6936,2080,52,12,0.1622
47.0562,2300,52,4,0.3487
47.1123,2300,52,4,0.4225
48.0919,2300,52,4,0.3958
51.3155,2300,52,4,0.4997
52.9553,2300,52,4,0.372
53.1711,2300,52,4,0.2167
57.029,2300,52,4,0.2012
57.1067,2300,52,4,0.3108
57.1196,2300,52,4,0.3068
62.5138,2300,52,4,0.2705
63.0792,2300,52,4,0.2783
63.2604,2300,52,4,0.2225
65.828,2300,52,4,0.1493
66.2251,2300,52,4,0.2506
66.8465,2300,52,4,0.2012
70.8468,2300,52,4,0.1347
70.8943,2300,52,4,0.1897
71.7358,2300,52,4,0.1317
75.516,2300,52,4,0.0794
75.7922,2300,52,4,0.1563
76.1029,2300,52,4,0.1523
51.7165,1000,28,55,1.7045
50.999,1000,28,55,1.157
55.4459,1000,28,55,1.3392
55.1397,1000,28,55,1.5888
62.6532,1000,28,55,1.4742
62.9868,1000,28,55,1.4534
66.7984,1000,28,55,1.0646
65.7061,1000,28,55,1.0752
72.0817,1000,28,55,0.5251
70.8888,1000,28,55,0.6843
79.6729,1000,28,55,0.4576
79.9791,1000,28,55,0.6558
85.6554,1000,28,55,0.1869
86.8848,1000,28,55,0.2036
43.4847,350,20,100,2.4202
46.3002,350,20,100,2.4286
47.1119,350,20,100,2.477
50.3309,350,20,100,2.3412
51.7524,350,20,100,2.5133
53.4491,350,20,100,2.4852
54.9669,350,20,100,2.0266
57.5761,350,20,100,1.7913
58.0576,350,20,100,1.9633
58.163,350,20,100,1.7095
61.3637,350,20,100,1.4354
63.6886,350,20,100,1.1457
66.1281,350,20,100,0.9123
66.6188,350,20,100,0.8741
66.7701,350,20,100,0.7082
68.8565,350,20,100,0.5181
70.5073,350,20,100,0.4482
71.6904,350,20,100,0.6082
76.1705,350,20,100,0.3681
76.895,350,20,100,0.2998
77.9176,350,20,100,0.3422
49.219,396,20.6,173,3.1375
50.7825,396,20.6,173,2.7597
51.338,396,20.6,173,3.0001
56.5259,396,20.6,173,2.5477
56.8977,396,20.6,173,2.637
60.1906,396,20.6,173,2.4953
60.428,396,20.6,173,2.0252
60.643,396,20.6,173,2.2723
61.2613,396,20.6,173,2.4413
64.787,396,20.6,173,1.7641
65.6338,396,20.6,173,1.9978
66.5298,396,20.6,173,1.4409
70.9247,396,20.6,173,1.3688
70.974,396,20.6,173,1.3269
71.8117,396,20.6,173,1.157
74.4415,396,20.6,173,1.0215
75.1807,396,20.6,173,1.1903
75.4988,396,20.6,173,1.0802
81.1033,396,20.6,173,0.7943
82.9849,396,20.6,173,0.7327
83.0297,396,20.6,173,0.8395
34.4605,4.6,8.9,120,0.6785
41.2906,4.6,8.9,120,0.3272
50.2851,4.6,8.9,120,0.2984
55.4897,4.6,8.9,120,0.2152
59.4234,4.6,8.9,120,0.3437
69.3834,4.6,8.9,120,0.2401
75.4143,4.6,8.9,120,0.0912
50.3552,2600,61,13,0.8486
54.7512,2600,61,13,0.8351
60.5054,2600,61,13,0.144
65.9692,2600,61,13,0.4216
75.5119,2600,61,13,0.2371
80.7881,2600,61,13,0.1531
45.0701,2600,61,13,0.4888
44.8914,2600,61,13,0.3326
50.5651,2600,61,13,0.4445
53.5807,2600,61,13,0.6925
58.218,2600,61,13,0.6183
57.8562,2600,61,13,0.5694
59.5449,2600,61,13,0.754
59.8576,2600,61,13,0.6828
66.693,2600,61,13,0.3984
65.0623,2600,61,13,0.3277
71.3884,2600,61,13,0.297
71.9781,2600,61,13,0.2792
77.491,2600,61,13,0.4085
53.6595,1434,45,101,1.844
54.7686,1434,45,101,2.5968
56.437,1434,45,101,1.816
57.438,1434,45,101,3.1191
58.4297,1434,45,101,2.2623
62.697,1434,45,101,1.2714
68.4118,1434,45,101,1.3138
68.5434,1434,45,101,1.6385
69.582,1434,45,101,1.6189
69.6431,1434,45,101,2.5082
70.7194,1434,45,101,1.8311
72.4254,1434,45,101,1.7125
72.5757,1434,45,101,2.1232
73.1961,1434,45,101,1.9331
73.4546,1434,45,101,1.0132
76.0065,1434,45,101,0.6762
76.8008,1434,45,101,0.312
78.5772,1434,45,101,0.5578
83.244,1434,45,101,0.293
87.5913,1434,45,101,0.3258
92.587,1434,45,101,0.2142
23.1404,1378,52,127,1.0919
28.8891,1378,52,127,0.8682
32.5979,1378,52,127,1.0119
33.3825,1378,52,127,1.1271
34.8898,1378,52,127,1.1916
37.2434,1378,52,127,1.1549
40.5956,1378,52,127,1.0289
52.2356,1378,52,127,0.9017
54.1043,1378,52,127,0.901
55.6924,1378,52,127,0.529
60.1287,1378,52,127,0.7629
62.2732,1378,52,127,0.8273
65.8821,1378,52,127,0.4397
70.6655,1378,52,127,0.6676
78.3922,1378,52,127,0.2551
82.5622,1378,52,127,0.2947
82.5765,1378,52,127,0.4386
88.5344,1378,52,127,0.0465
27.9213,1245,38,141,1.6931
30.0926,1245,38,141,1.2876
30.9167,1245,38,141,1.1382
31.4352,1245,38,141,1.5614
32.3287,1245,38,141,1.4719
33.7593,1245,38,141,1.4293
35.7731,1245,38,141,1.1226
39.5509,1245,38,141,0.8766
41.2454,1245,38,141,0.9721
50.7546,1245,38,141,0.9851
51.5741,1245,38,141,0.896
51.7685,1245,38,141,0.9479
59.2963,1245,38,141,0.9336
60.3241,1245,38,141,1.0347
60.5417,1245,38,141,0.8926
71.2037,1245,38,141,0.7938
73.9907,1245,38,141,0.7057
81.6667,1245,38,141,0.2431
84.7407,1245,38,141,0.4824
86.7963,1245,38,141,0.4117
88.6065,1245,38,141,0.0948
30.4789,1494,39,105,1.37
35.0296,1494,39,105,1.0567
39.0467,1494,39,105,1.4117
40.0316,1494,39,105,1.1201
42.7219,1494,39,105,1.4276
44.9835,1494,39,105,1.2762
45.6675,1494,39,105,0.7678
46.4928,1494,39,105,1.0321
49.712,1494,39,105,1.0531
54.6,1494,39,105,0.5242
57.345,1494,39,105,0.457
59.2282,1494,39,105,0.2886
59.6249,1494,39,105,0.6007
60.3544,1494,39,105,0.8895
61.7953,1494,39,105,0.4825
65.2927,1494,39,105,0.6421
68.3614,1494,39,105,0.6544
77.0659,1494,39,105,0.609
78.7348,1494,39,105,0.0522
85.8024,1494,39,105,0.0181
60.4928,1806,53,43,1.0522
62.0953,1806,53,43,1.1231
62.2148,1806,53,43,0.9974
62.9408,1806,53,43,0.9232
63.3437,1806,53,43,0.9206
64.7071,1806,53,43,0.9623
67.9298,1806,53,43,0.7856
69.063,1806,53,43,0.791
69.1914,1806,53,43,0.7845
76.7301,1806,53,43,0.5008
77.2082,1806,53,43,0.4888
79.3286,1806,53,43,0.309
86.8319,1806,53,43,0.2005
87.1329,1806,53,43,0.0897
87.4782,1806,53,43,0.0694
87.4915,1806,53,43,0.0974
88.2352,1806,53,43,0.1856
38.0897,1752,45,41,1.1804
40.5585,1752,45,41,0.8677
41.9181,1752,45,41,0.8157
43.3553,1752,45,41,0.9828
43.8905,1752,45,41,0.9346
45.8069,1752,45,41,0.8211
48.2498,1752,45,41,0.5423
48.3793,1752,45,41,0.5104
51.8322,1752,45,41,0.7008
59.1825,1752,45,41,0.3176
61.8326,1752,45,41,0.4934
63.5461,1752,45,41,0.4252
66.2998,1752,45,41,0.2494
68.4967,1752,45,41,0.335
69.1571,1752,45,41,0.4853
72.3035,1752,45,41,0.1741
76.3693,1752,45,41,0.1574
76.9088,1752,45,41,0.1049
78.6352,1752,45,41,0.3402
84.3152,1752,45,41,0.0602
89.2529,1752,45,41,0.0487
33.8186,1305,37,110,1.4201
37.5832,1305,37,110,0.9672
38.4624,1305,37,110,1.5237
38.9534,1305,37,110,1.756
38.9955,1305,37,110,1.5077
41.5676,1305,37,110,1.4739
45.5706,1305,37,110,1.1331
45.898,1305,37,110,1.4927
47.9743,1305,37,110,1.5171
55.8588,1305,37,110,0.845
58.9453,1305,37,110,1.3091
59.2493,1305,37,110,1.3291
63.9491,1305,37,110,0.8425
66.3669,1305,37,110,1.202
67.0262,1305,37,110,1.3624
75.6871,1305,37,110,0.8987
77.8008,1305,37,110,0.73
84.5162,1305,37,110,0.557
86.0922,1305,37,110,0.1815
90.0672,1305,37,110,0.0743
90.9043,1305,37,110,0.2934
36.7771,1673,46,51,1.3514
38.7848,1673,46,51,1.2927
39.8339,1673,46,51,1.3426
42.7415,1673,46,51,1.2451
45.5723,1673,46,51,1.2722
45.6808,1673,46,51,1.0896
50.1299,1673,46,51,0.9781
50.2434,1673,46,51,0.9964
50.8765,1673,46,51,1.2092
53.6032,1673,46,51,0.9167
54.1368,1673,46,51,1.0709
55.3306,1673,46,51,0.9346
58.9075,1673,46,51,0.755
59.6943,1673,46,51,0.8337
60.038,1673,46,51,0.7831
62.8642,1673,46,51,0.8329
64.0037,1673,46,51,0.6229
64.6911,1673,46,51,0.7704
70.244,1673,46,51,0.4533
71.777,1673,46,51,0.4393
72.5367,1673,46,51,0.4892
49.3379,4100,69,5.3,0.1279
52.8755,4100,69,5.3,0.1112
59.5061,4100,69,5.3,0.1331
64.4733,4100,69,5.3,0.0744
68.3443,4100,69,5.3,0.0306
73.2157,4100,69,5.3,0.0444
77.6195,4100,69,5.3,0.0322
49.1501,4100,69,5.3,0.0797
50.2079,4100,69,5.3,0.0947
55.1828,4100,69,5.3,0.0558
56.3058,4100,69,5.3,0.0821
60.2995,4100,69,5.3,0.036
60.9894,4100,69,5.3,0.0806
64.0555,4100,69,5.3,0.0629
64.6994,4100,69,5.3,0.0605
68.4861,4100,69,5.3,0.0351
68.6663,4100,69,5.3,0.0278
73.1391,4100,69,5.3,0.0212
73.5645,4100,69,5.3,0.0127
78.7233,4100,69,5.3,0.0348
79.2599,4100,69,5.3,0.0264
48.5098,1500,33,51,2.0266
49.1106,1500,33,51,2.2927
49.4066,1500,33,51,2.111
53.4398,1500,33,51,0.9574
54.3808,1500,33,51,1.2819
54.7607,1500,33,51,1.0547
60.7996,1500,33,51,1.6908
61.502,1500,33,51,0.5838
61.8112,1500,33,51,1.2294
63.1674,1500,33,51,0.9631
64.0421,1500,33,51,0.939
64.1437,1500,33,51,0.8757
68.6408,1500,33,51,0.7221
69.7541,1500,33,51,0.8321
69.8601,1500,33,51,0.9259
75.8504,1500,33,51,0.1443
76.0845,1500,33,51,0.6979
76.5528,1500,33,51,0.3394
80.0383,1500,33,51,0.1295
81.9909,1500,33,51,0.0771
81.9909,1500,33,51,0.1526
52.9442,2200,46,48,1.5801
58.9824,2200,46,48,1.5751
65.1808,2200,46,48,1.6547
66.9813,2200,46,48,1.1354
73.5592,2200,46,48,0.8466
78.6317,2200,46,48,0.5051
86.2089,2200,46,48,0.1997
47.5723,2200,46,48,1.5326
49.1577,2200,46,48,1.4311
55.1369,2200,46,48,1.1978
56.1151,2200,46,48,1.7966
60.4456,2200,46,48,1.6916
60.6311,2200,46,48,1.6958
64.3375,2200,46,48,0.931
64.8561,2200,46,48,0.6489
70.5021,2200,46,48,0.5985
69.5281,2200,46,48,0.5497
73.4748,2200,46,48,0.3275
74.1368,2200,46,48,0.6311
83.679,2200,46,48,0.0291
83.173,2200,46,48,0.0809
48.0422,2800,65,6.2,0.2711
48.7013,2800,65,6.2,0.2578
49.4081,2800,65,6.2,0.2679
52.6603,2800,65,6.2,0.1762
55.223,2800,65,6.2,0.1937
56.3937,2800,65,6.2,0.2133
60.396,2800,65,6.2,0.1462
60.6736,2800,65,6.2,0.2108
60.8904,2800,65,6.2,0.1514
61.3197,2800,65,6.2,0.185
61.7056,2800,65,6.2,0.1393
62.6899,2800,65,6.2,0.1803
67.2429,2800,65,6.2,0.1045
67.7155,2800,65,6.2,0.1418
68.7519,2800,65,6.2,0.1312
73.4307,2800,65,6.2,0.087
74.0637,2800,65,6.2,0.0879
74.8573,2800,65,6.2,0.0832
78.1354,2800,65,6.2,0.044
78.9029,2800,65,6.2,0.0288
79.4189,2800,65,6.2,0.0322
